com.alibaba.druid.filter.stat.StatFilter.createSqlStat(ms) :31
com.alibaba.druid.filter.stat.StatFilter.statementPrepareAfter(ms) :31
com.alibaba.druid.filter.FilterEventAdapter.connection_prepareStatement(ms) :53
com.alibaba.druid.filter.FilterChainImpl.connection_prepareStatement(ms) :53
com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl.prepareStatement(ms) :53
com.alibaba.druid.pool.DruidPooledConnection.prepareStatement(ms) :62
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.query(ms) :2
com.alibaba.druid.sql.parser.SQLSelectParser.select(ms) :2
com.alibaba.druid.sql.dialect.mysql.parser.MySqlStatementParser.parseSelect(ms) :2
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :2
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :2
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :2
com.alibaba.druid.sql.dialect.mysql.visitor.MySqlOutputVisitor.visit(ms) :7
com.alibaba.druid.sql.ast.expr.SQLVariantRefExpr.accept0(ms) :7
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :7
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visitorBinaryRight(ms) :7
com.alibaba.druid.sql.ast.expr.SQLBinaryOpExpr.accept0(ms) :8
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :8
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visitBinaryLeft(ms) :8
com.alibaba.druid.sql.ast.expr.SQLIntegerExpr.accept0(ms) :2
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :2
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visitorBinaryRight(ms) :2
com.alibaba.druid.sql.ast.expr.SQLBinaryOpExpr.accept0(ms) :2
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :2
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visitorBinaryRight(ms) :2
com.alibaba.druid.sql.ast.expr.SQLBinaryOpExpr.accept0(ms) :10
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :11
com.alibaba.druid.sql.dialect.mysql.visitor.MySqlOutputVisitor.visit(ms) :12
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlSelectQueryBlock.accept0(ms) :12
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlSelectQueryBlock.accept0(ms) :12
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :12
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visit(ms) :12
com.alibaba.druid.sql.ast.statement.SQLSelect.accept0(ms) :12
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :12
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visit(ms) :12
com.alibaba.druid.sql.ast.statement.SQLSelectStatement.accept0(ms) :12
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :12
com.alibaba.druid.sql.SQLUtils.toSQLString(ms) :12
com.alibaba.druid.sql.SQLUtils.toSQLString(ms) :12
com.alibaba.druid.sql.SQLUtils.format(ms) :14
com.alibaba.druid.filter.logging.LogFilter.logExecutableSql(ms) :217
com.alibaba.druid.filter.logging.LogFilter.statementExecuteAfter(ms) :226
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :229
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :229
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :230
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :230
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :230
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :230
com.alibaba.druid.pool.DruidPooledStatement.getResultSet(ms) :97
com.alibaba.druid.filter.FilterChainImpl.resultSet_getTimestamp(ms) :10
com.alibaba.druid.filter.FilterAdapter.resultSet_getTimestamp(ms) :11
com.alibaba.druid.filter.FilterChainImpl.resultSet_getTimestamp(ms) :11
com.alibaba.druid.filter.FilterAdapter.resultSet_getTimestamp(ms) :11
com.alibaba.druid.filter.FilterChainImpl.resultSet_getTimestamp(ms) :11
com.alibaba.druid.proxy.jdbc.ResultSetProxyImpl.getTimestamp(ms) :11
com.alibaba.druid.filter.logging.LogFilter.resultSet_next(ms) :12
com.alibaba.druid.filter.FilterChainImpl.resultSet_next(ms) :12
com.alibaba.druid.filter.FilterAdapter.resultSet_next(ms) :12
com.alibaba.druid.filter.FilterChainImpl.resultSet_next(ms) :12
com.alibaba.druid.proxy.jdbc.ResultSetProxyImpl.next(ms) :12
com.alibaba.druid.pool.DruidPooledResultSet.next(ms) :12
com.alibaba.druid.filter.logging.Log4jFilter.statementLog(ms) :6
com.alibaba.druid.filter.logging.LogFilter.statement_close(ms) :6
com.alibaba.druid.filter.FilterChainImpl.statement_close(ms) :6
com.alibaba.druid.filter.stat.StatFilter.statement_close(ms) :6
com.alibaba.druid.filter.FilterChainImpl.statement_close(ms) :6
com.alibaba.druid.proxy.jdbc.StatementProxyImpl.close(ms) :6
com.alibaba.druid.pool.DruidPooledStatement.close(ms) :6
com.alibaba.druid.pool.DruidPooledPreparedStatement.closeInternal(ms) :6
com.alibaba.druid.pool.DruidPooledConnection.closePoolableStatement(ms) :6
com.alibaba.druid.pool.DruidPooledPreparedStatement.close(ms) :6
org.mybatis.spring.SqlSessionTemplate$SqlSessionInterceptor.invoke(ms) :548
org.mybatis.spring.SqlSessionTemplate.selectOne(ms) :549
com.alibaba.druid.sql.parser.Lexer.nextToken(ms) :2
com.alibaba.druid.sql.parser.SQLExprParser.dotRest(ms) :2
com.alibaba.druid.sql.parser.SQLExprParser.primaryRest(ms) :2
com.alibaba.druid.sql.dialect.mysql.parser.MySqlExprParser.primaryRest(ms) :2
com.alibaba.druid.sql.parser.SQLExprParser.primary(ms) :2
com.alibaba.druid.sql.dialect.mysql.parser.MySqlExprParser.primary(ms) :2
com.alibaba.druid.sql.parser.SQLExprParser.expr(ms) :3
com.alibaba.druid.sql.parser.SQLSelectParser.expr(ms) :3
com.alibaba.druid.sql.parser.SQLSelectParser.parseTableSourceQueryTableExpr(ms) :3
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.parseTableSource(ms) :3
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.parseFrom(ms) :3
com.alibaba.druid.sql.parser.SQLExprParser.parseLimit(ms) :4
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.query(ms) :8
com.alibaba.druid.sql.parser.SQLSelectParser.select(ms) :8
com.alibaba.druid.sql.dialect.mysql.parser.MySqlStatementParser.parseSelect(ms) :8
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :8
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :8
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :8
com.alibaba.druid.sql.ast.expr.SQLBinaryOpExpr.accept0(ms) :2
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :2
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visitBinaryLeft(ms) :2
com.alibaba.druid.sql.ast.expr.SQLBinaryOpExpr.accept0(ms) :2
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :2
com.alibaba.druid.sql.dialect.mysql.visitor.MySqlOutputVisitor.visit(ms) :2
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlSelectQueryBlock.accept0(ms) :2
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlSelectQueryBlock.accept0(ms) :2
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :2
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visit(ms) :2
com.alibaba.druid.sql.ast.statement.SQLSelect.accept0(ms) :2
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :2
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visit(ms) :2
com.alibaba.druid.sql.ast.statement.SQLSelectStatement.accept0(ms) :2
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :2
com.alibaba.druid.sql.visitor.ParameterizedOutputVisitorUtils.parameterize(ms) :11
com.alibaba.druid.filter.stat.StatFilter.mergeSql(ms) :11
com.alibaba.druid.filter.stat.StatFilter.createSqlStat(ms) :19
com.alibaba.druid.filter.stat.StatFilter.statementPrepareAfter(ms) :19
com.alibaba.druid.filter.FilterEventAdapter.connection_prepareStatement(ms) :20
com.alibaba.druid.filter.FilterChainImpl.connection_prepareStatement(ms) :20
com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl.prepareStatement(ms) :20
com.alibaba.druid.pool.DruidPooledConnection.prepareStatement(ms) :20
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.createParemeter(ms) :3
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.setInt(ms) :4
com.alibaba.druid.pool.DruidPooledPreparedStatement.setInt(ms) :4
com.alibaba.druid.filter.logging.LogFilter.statementExecuteAfter(ms) :2
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :5
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :5
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :5
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :5
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :5
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :5
org.mybatis.spring.SqlSessionTemplate$SqlSessionInterceptor.invoke(ms) :208
org.mybatis.spring.SqlSessionTemplate.selectOne(ms) :208
org.mybatis.spring.SqlSessionUtils$SqlSessionSynchronization.beforeCompletion(ms) :8
org.springframework.jdbc.datasource.DataSourceUtils.doReleaseConnection(ms) :2
org.springframework.jdbc.datasource.DataSourceUtils.releaseConnection(ms) :2
org.springframework.jdbc.datasource.DataSourceUtils$ConnectionSynchronization.beforeCompletion(ms) :2
org.springframework.data.redis.core.RedisConnectionUtils.doGetConnection(ms) :2
org.springframework.data.redis.core.RedisConnectionUtils.getConnection(ms) :2
org.springframework.data.redis.core.RedisConnectionUtils.getConnection(ms) :2
org.springframework.data.redis.core.RedisConnectionUtils.releaseConnection(ms) :2
org.springframework.data.redis.core.RedisTemplate.execute(ms) :5
org.springframework.data.redis.core.RedisTemplate.execute(ms) :5
org.springframework.data.redis.core.RedisTemplate.execute(ms) :5
org.mybatis.spring.SqlSessionUtils.getSqlSession(ms) :4
com.alibaba.druid.filter.logging.Log4jFilter.connectionLog(ms) :3
com.alibaba.druid.filter.logging.LogFilter.dataSource_getConnection(ms) :3
com.alibaba.druid.filter.FilterChainImpl.dataSource_connect(ms) :3
com.alibaba.druid.filter.stat.StatFilter.dataSource_getConnection(ms) :3
com.alibaba.druid.filter.FilterChainImpl.dataSource_connect(ms) :3
com.alibaba.druid.pool.DruidDataSource.getConnection(ms) :3
com.alibaba.druid.pool.DruidDataSource.getConnection(ms) :3
com.alibaba.druid.pool.DruidDataSource.getConnection(ms) :3
org.springframework.jdbc.datasource.DataSourceUtils.doGetConnection(ms) :5
org.springframework.jdbc.datasource.DataSourceUtils.getConnection(ms) :5
org.mybatis.spring.transaction.SpringManagedTransaction.openConnection(ms) :7
org.mybatis.spring.transaction.SpringManagedTransaction.getConnection(ms) :7
com.alibaba.druid.filter.FilterEventAdapter.connection_prepareStatement(ms) :2
com.alibaba.druid.filter.FilterChainImpl.connection_prepareStatement(ms) :2
com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl.prepareStatement(ms) :2
com.alibaba.druid.pool.DruidPooledConnection.prepareStatement(ms) :2
com.alibaba.druid.sql.SQLUtils.format(ms) :2
com.alibaba.druid.filter.logging.LogFilter.logExecutableSql(ms) :2
com.alibaba.druid.filter.logging.LogFilter.statementExecuteAfter(ms) :3
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :12
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :12
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :12
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :12
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :12
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :12
com.alibaba.druid.filter.logging.Log4jFilter.resultSetLog(ms) :39
com.alibaba.druid.filter.logging.LogFilter.resultSetOpenAfter(ms) :40
com.alibaba.druid.filter.FilterEventAdapter.statement_getResultSet(ms) :40
com.alibaba.druid.filter.FilterChainImpl.statement_getResultSet(ms) :40
com.alibaba.druid.filter.FilterAdapter.statement_getResultSet(ms) :41
com.alibaba.druid.filter.FilterEventAdapter.statement_getResultSet(ms) :41
com.alibaba.druid.filter.FilterChainImpl.statement_getResultSet(ms) :42
com.alibaba.druid.proxy.jdbc.StatementProxyImpl.getResultSet(ms) :42
com.alibaba.druid.pool.DruidPooledStatement.getResultSet(ms) :42
com.alibaba.druid.filter.FilterChainImpl.resultSet_getTimestamp(ms) :2
com.alibaba.druid.filter.FilterAdapter.resultSet_getTimestamp(ms) :2
com.alibaba.druid.filter.FilterChainImpl.resultSet_getTimestamp(ms) :3
com.alibaba.druid.filter.FilterAdapter.resultSet_getTimestamp(ms) :3
com.alibaba.druid.filter.FilterChainImpl.resultSet_getTimestamp(ms) :3
com.alibaba.druid.proxy.jdbc.ResultSetProxyImpl.getTimestamp(ms) :3
com.alibaba.druid.filter.logging.LogFilter.resultSet_next(ms) :5
com.alibaba.druid.filter.FilterChainImpl.resultSet_next(ms) :5
com.alibaba.druid.filter.FilterAdapter.resultSet_next(ms) :5
com.alibaba.druid.filter.FilterChainImpl.resultSet_next(ms) :5
com.alibaba.druid.proxy.jdbc.ResultSetProxyImpl.next(ms) :5
com.alibaba.druid.pool.DruidPooledResultSet.next(ms) :5
com.alibaba.druid.filter.FilterChainImpl.resultSet_getString(ms) :3
com.alibaba.druid.filter.FilterAdapter.resultSet_getString(ms) :3
com.alibaba.druid.filter.FilterChainImpl.resultSet_getString(ms) :3
com.alibaba.druid.filter.stat.StatFilter.resultSet_getString(ms) :3
com.alibaba.druid.filter.FilterChainImpl.resultSet_getString(ms) :3
com.alibaba.druid.proxy.jdbc.ResultSetProxyImpl.getString(ms) :3
com.alibaba.druid.pool.DruidPooledResultSet.getString(ms) :3
org.mybatis.spring.SqlSessionTemplate$SqlSessionInterceptor.invoke(ms) :88
org.mybatis.spring.SqlSessionTemplate.selectOne(ms) :88
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.query(ms) :3
com.alibaba.druid.sql.parser.SQLSelectParser.select(ms) :3
com.alibaba.druid.sql.dialect.mysql.parser.MySqlStatementParser.parseSelect(ms) :3
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :3
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :3
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :3
com.alibaba.druid.sql.visitor.ParameterizedOutputVisitorUtils.parameterize(ms) :5
com.alibaba.druid.filter.stat.StatFilter.mergeSql(ms) :5
com.alibaba.druid.filter.stat.StatFilter.createSqlStat(ms) :5
com.alibaba.druid.filter.stat.StatFilter.statementPrepareAfter(ms) :5
com.alibaba.druid.filter.FilterEventAdapter.connection_prepareStatement(ms) :6
com.alibaba.druid.filter.FilterChainImpl.connection_prepareStatement(ms) :6
com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl.prepareStatement(ms) :6
com.alibaba.druid.pool.DruidPooledConnection.prepareStatement(ms) :6
com.alibaba.druid.filter.logging.LogFilter.statementExecuteAfter(ms) :2
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :5
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :5
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :5
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :5
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :5
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :5
com.alibaba.druid.filter.logging.Log4jFilter.resultSetLog(ms) :81
com.alibaba.druid.filter.logging.LogFilter.resultSet_next(ms) :82
com.alibaba.druid.filter.FilterChainImpl.resultSet_next(ms) :82
com.alibaba.druid.filter.FilterAdapter.resultSet_next(ms) :82
com.alibaba.druid.filter.FilterChainImpl.resultSet_next(ms) :82
com.alibaba.druid.proxy.jdbc.ResultSetProxyImpl.next(ms) :82
com.alibaba.druid.pool.DruidPooledResultSet.next(ms) :82
org.mybatis.spring.SqlSessionTemplate$SqlSessionInterceptor.invoke(ms) :106
org.mybatis.spring.SqlSessionTemplate.selectOne(ms) :106
com.alibaba.druid.filter.logging.Log4jFilter.connectionLog(ms) :2
com.alibaba.druid.filter.logging.LogFilter.dataSource_getConnection(ms) :3
com.alibaba.druid.filter.FilterChainImpl.dataSource_connect(ms) :3
com.alibaba.druid.filter.stat.StatFilter.dataSource_getConnection(ms) :3
com.alibaba.druid.filter.FilterChainImpl.dataSource_connect(ms) :3
com.alibaba.druid.pool.DruidDataSource.getConnection(ms) :3
com.alibaba.druid.pool.DruidDataSource.getConnection(ms) :3
com.alibaba.druid.pool.DruidDataSource.getConnection(ms) :3
org.springframework.jdbc.datasource.DataSourceUtils.doGetConnection(ms) :5
org.springframework.jdbc.datasource.DataSourceUtils.getConnection(ms) :5
org.mybatis.spring.transaction.SpringManagedTransaction.openConnection(ms) :6
org.mybatis.spring.transaction.SpringManagedTransaction.getConnection(ms) :6
com.alibaba.druid.sql.parser.SQLSelectParser.parseSelectList(ms) :3
com.alibaba.druid.sql.parser.SQLExprParser.parseSelectOrderByItem(ms) :2
com.alibaba.druid.sql.parser.SQLExprParser.parseOrderBy(ms) :7
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.query(ms) :12
com.alibaba.druid.sql.parser.SQLSelectParser.select(ms) :12
com.alibaba.druid.sql.dialect.mysql.parser.MySqlStatementParser.parseSelect(ms) :12
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :12
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :12
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :12
com.alibaba.druid.sql.visitor.ParameterizedOutputVisitorUtils.parameterize(ms) :14
com.alibaba.druid.filter.stat.StatFilter.mergeSql(ms) :14
com.alibaba.druid.filter.stat.StatFilter.createSqlStat(ms) :14
com.alibaba.druid.filter.stat.StatFilter.statementPrepareAfter(ms) :14
com.alibaba.druid.filter.FilterEventAdapter.connection_prepareStatement(ms) :16
com.alibaba.druid.filter.FilterChainImpl.connection_prepareStatement(ms) :16
com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl.prepareStatement(ms) :16
com.alibaba.druid.pool.DruidPooledConnection.prepareStatement(ms) :16
com.alibaba.druid.sql.parser.SQLSelectParser.parseSelectList(ms) :2
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.query(ms) :3
com.alibaba.druid.sql.parser.SQLSelectParser.select(ms) :3
com.alibaba.druid.sql.dialect.mysql.parser.MySqlStatementParser.parseSelect(ms) :3
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :3
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :3
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :3
com.alibaba.druid.sql.SQLUtils.format(ms) :5
com.alibaba.druid.filter.logging.LogFilter.logExecutableSql(ms) :5
com.alibaba.druid.filter.logging.Log4jFilter.statementLog(ms) :3
com.alibaba.druid.filter.logging.LogFilter.statementExecuteAfter(ms) :9
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :14
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :14
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :14
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :14
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :14
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :14
com.alibaba.druid.filter.logging.LogFilter.resultSetOpenAfter(ms) :2
com.alibaba.druid.filter.FilterEventAdapter.statement_getResultSet(ms) :2
com.alibaba.druid.filter.FilterChainImpl.statement_getResultSet(ms) :2
com.alibaba.druid.filter.FilterAdapter.statement_getResultSet(ms) :2
com.alibaba.druid.filter.FilterEventAdapter.statement_getResultSet(ms) :2
com.alibaba.druid.filter.FilterChainImpl.statement_getResultSet(ms) :2
com.alibaba.druid.proxy.jdbc.StatementProxyImpl.getResultSet(ms) :2
com.alibaba.druid.pool.DruidPooledStatement.getResultSet(ms) :2
com.alibaba.druid.filter.logging.Log4jFilter.resultSetLog(ms) :2
com.alibaba.druid.filter.logging.LogFilter.resultSet_next(ms) :6
com.alibaba.druid.filter.FilterChainImpl.resultSet_next(ms) :6
com.alibaba.druid.filter.FilterAdapter.resultSet_next(ms) :6
