com.alibaba.druid.sql.parser.SQLParserUtils.createSQLStatementParser(ms) :67
com.alibaba.druid.sql.parser.SQLExprParser.parseSelectItem(ms) :13
com.alibaba.druid.sql.parser.SQLSelectParser.parseSelectList(ms) :14
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.parseInto(ms) :3
com.alibaba.druid.sql.parser.SQLExprParser.primary(ms) :9
com.alibaba.druid.sql.dialect.mysql.parser.MySqlExprParser.primary(ms) :49
com.alibaba.druid.sql.parser.SQLExprParser.expr(ms) :49
com.alibaba.druid.sql.parser.SQLSelectParser.expr(ms) :49
com.alibaba.druid.sql.parser.SQLSelectParser.parseTableSourceQueryTableExpr(ms) :49
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.parseTableSource(ms) :54
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.parseFrom(ms) :54
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.query(ms) :74
com.alibaba.druid.sql.parser.SQLSelectParser.select(ms) :107
com.alibaba.druid.sql.visitor.ParameterizedOutputVisitorUtils.createParameterizedOutputVisitor(ms) :213
com.alibaba.druid.sql.ast.expr.SQLIdentifierExpr.accept0(ms) :2
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :2
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visit(ms) :2
com.alibaba.druid.sql.ast.statement.SQLSelectItem.accept0(ms) :2
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :2
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.printSelectList(ms) :2
com.alibaba.druid.sql.dialect.mysql.visitor.MySqlOutputVisitor.visit(ms) :2
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlSelectQueryBlock.accept0(ms) :2
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlSelectQueryBlock.accept0(ms) :2
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :3
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visit(ms) :3
com.alibaba.druid.sql.ast.statement.SQLSelect.accept0(ms) :3
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :3
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visit(ms) :3
com.alibaba.druid.sql.ast.statement.SQLSelectStatement.accept0(ms) :3
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :3
com.alibaba.druid.sql.visitor.ParameterizedOutputVisitorUtils.parameterize(ms) :570
com.alibaba.druid.filter.FilterChainImpl.connection_prepareStatement(ms) :722
com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl.prepareStatement(ms) :722
org.apache.ibatis.executor.statement.PreparedStatementHandler.instantiateStatement(ms) :737
org.apache.ibatis.executor.statement.BaseStatementHandler.prepare(ms) :738
org.apache.ibatis.executor.statement.RoutingStatementHandler.prepare(ms) :738
org.apache.ibatis.executor.SimpleExecutor.prepareStatement(ms) :1718
com.alibaba.druid.support.profile.Profiler.enter(ms) :1069
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :37
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :37
com.alibaba.druid.filter.stat.StatFilter.internalAfterStatementExecute(ms) :2
com.alibaba.druid.filter.stat.StatFilter.statementExecuteAfter(ms) :2
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :1112
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :1114
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :1114
com.alibaba.druid.filter.FilterChainImpl.wrap(ms) :104
com.alibaba.druid.filter.FilterChainImpl.statement_getResultSet(ms) :104
com.alibaba.druid.filter.FilterAdapter.statement_getResultSet(ms) :104
com.alibaba.druid.filter.FilterChainImpl.wrap(ms) :9
com.alibaba.druid.filter.FilterChainImpl.resultSet_getMetaData(ms) :9
com.alibaba.druid.filter.FilterAdapter.resultSet_getMetaData(ms) :9
com.alibaba.druid.filter.FilterChainImpl.resultSet_getMetaData(ms) :9
com.alibaba.druid.filter.FilterAdapter.resultSet_getMetaData(ms) :9
com.alibaba.druid.filter.FilterChainImpl.resultSet_getMetaData(ms) :9
com.alibaba.druid.proxy.jdbc.ResultSetProxyImpl.getMetaData(ms) :9
com.alibaba.druid.filter.logging.LogFilter.resultSetOpenAfter(ms) :9
com.alibaba.druid.filter.FilterEventAdapter.statement_getResultSet(ms) :114
com.alibaba.druid.filter.FilterChainImpl.statement_getResultSet(ms) :114
com.alibaba.druid.filter.FilterAdapter.statement_getResultSet(ms) :114
com.alibaba.druid.filter.FilterEventAdapter.statement_getResultSet(ms) :114
com.alibaba.druid.filter.FilterChainImpl.statement_getResultSet(ms) :114
com.alibaba.druid.proxy.jdbc.StatementProxyImpl.getResultSet(ms) :114
com.alibaba.druid.pool.DruidPooledStatement.getResultSet(ms) :200
org.apache.ibatis.type.JdbcType.forCode(ms) :2
org.apache.ibatis.executor.resultset.ResultSetWrapper.<init>(ms) :5
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.getFirstResultSet(ms) :217
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.getRowValue(ms) :5
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleRowValuesForSimpleResultMap(ms) :17
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleRowValues(ms) :17
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleResultSet(ms) :24
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleResultSets(ms) :243
org.apache.ibatis.executor.statement.PreparedStatementHandler.query(ms) :1357
org.apache.ibatis.executor.statement.RoutingStatementHandler.query(ms) :1357
org.apache.ibatis.executor.SimpleExecutor.doQuery(ms) :3109
org.apache.ibatis.executor.BaseExecutor.queryFromDatabase(ms) :3110
org.apache.ibatis.executor.BaseExecutor.query(ms) :3111
org.apache.ibatis.executor.CachingExecutor.query(ms) :3111
org.apache.ibatis.executor.CachingExecutor.query(ms) :3763
org.apache.ibatis.session.defaults.DefaultSqlSession.selectList(ms) :3763
org.apache.ibatis.session.defaults.DefaultSqlSession.selectList(ms) :3763
org.apache.ibatis.binding.MapperMethod.executeForMany(ms) :3856
org.apache.ibatis.binding.MapperMethod.execute(ms) :3857
org.springframework.jdbc.datasource.DataSourceUtils.doCloseConnection(ms) :8
org.springframework.jdbc.datasource.DataSourceUtils.doReleaseConnection(ms) :8
org.springframework.jdbc.datasource.DataSourceUtils.releaseConnection(ms) :8
org.springframework.jdbc.datasource.DataSourceUtils$ConnectionSynchronization.beforeCompletion(ms) :8
org.apache.ibatis.executor.SimpleExecutor.prepareStatement(ms) :3
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :35
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :35
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :36
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :36
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :36
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :36
