com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :3
com.alibaba.druid.pool.DruidPooledStatement.getResultSet(ms) :43
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :2
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :3
org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ms) :92
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :92
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :93
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :93
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :198
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :198
com.alibaba.druid.pool.DruidPooledStatement.getResultSet(ms) :3
com.alibaba.druid.pool.DruidPooledResultSet.next(ms) :4
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :3
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :3
org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ms) :298
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :298
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :299
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :299
org.springframework.data.redis.core.RedisTemplate.execute(ms) :3
org.springframework.data.redis.core.RedisTemplate.execute(ms) :3
org.springframework.data.redis.core.RedisTemplate.execute(ms) :3
org.springframework.aop.support.AopUtils.invokeJoinpointUsingReflection(ms) :3
org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ms) :3
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :3
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :4
org.springframework.aop.interceptor.ExposeInvocationInterceptor.invoke(ms) :4
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :4
org.springframework.aop.framework.JdkDynamicAopProxy.invoke(ms) :4
org.mybatis.spring.SqlSessionUtils.getSqlSession(ms) :2
com.alibaba.druid.pool.DruidDataSource.getConnection(ms) :2
com.alibaba.druid.pool.DruidDataSource.getConnection(ms) :2
com.alibaba.druid.pool.DruidDataSource.getConnection(ms) :2
org.springframework.jdbc.datasource.DataSourceUtils.doGetConnection(ms) :3
org.springframework.jdbc.datasource.DataSourceUtils.getConnection(ms) :3
org.mybatis.spring.transaction.SpringManagedTransaction.openConnection(ms) :4
org.mybatis.spring.transaction.SpringManagedTransaction.getConnection(ms) :4
com.alibaba.druid.filter.FilterChainImpl.connection_prepareStatement(ms) :2
com.alibaba.druid.filter.FilterAdapter.connection_prepareStatement(ms) :2
com.alibaba.druid.sql.parser.SQLSelectParser.parseSelectList(ms) :3
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.query(ms) :5
com.alibaba.druid.sql.parser.SQLSelectParser.select(ms) :6
com.alibaba.druid.sql.dialect.mysql.parser.MySqlStatementParser.parseSelect(ms) :6
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :6
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :6
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :6
com.alibaba.druid.sql.dialect.mysql.visitor.MySqlOutputVisitor.visit(ms) :2
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlSelectQueryBlock.accept0(ms) :2
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlSelectQueryBlock.accept0(ms) :2
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :2
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visit(ms) :2
com.alibaba.druid.sql.ast.statement.SQLSelect.accept0(ms) :2
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :2
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visit(ms) :2
com.alibaba.druid.sql.ast.statement.SQLSelectStatement.accept0(ms) :2
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :2
com.alibaba.druid.sql.visitor.ParameterizedOutputVisitorUtils.parameterize(ms) :10
com.alibaba.druid.filter.stat.StatFilter.mergeSql(ms) :10
com.alibaba.druid.filter.stat.StatFilter.createSqlStat(ms) :10
com.alibaba.druid.filter.stat.StatFilter.statementPrepareAfter(ms) :10
com.alibaba.druid.filter.FilterEventAdapter.connection_prepareStatement(ms) :12
com.alibaba.druid.filter.FilterChainImpl.connection_prepareStatement(ms) :12
com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl.prepareStatement(ms) :12
com.alibaba.druid.pool.DruidPooledConnection.prepareStatement(ms) :13
com.alibaba.druid.filter.logging.LogFilter.logParameter(ms) :2
com.alibaba.druid.filter.logging.LogFilter.statementExecuteBefore(ms) :2
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.query(ms) :2
com.alibaba.druid.sql.parser.SQLSelectParser.select(ms) :2
com.alibaba.druid.sql.dialect.mysql.parser.MySqlStatementParser.parseSelect(ms) :2
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :2
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :2
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :2
com.alibaba.druid.sql.SQLUtils.format(ms) :4
com.alibaba.druid.filter.logging.LogFilter.logExecutableSql(ms) :4
com.alibaba.druid.filter.logging.LogFilter.statementExecuteAfter(ms) :5
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :9
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :9
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :10
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :10
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :10
